SampleID	Tissue	Genotype	Treatment	Replicate	paired
me10a_SRR039501	leaf	B73	base	1	FALSE
me10a_SRR039502	leaf	B73	base	2	FALSE
me10a_SRR039503	leaf	B73	-1cm	1	FALSE
me10a_SRR039504	leaf	B73	-1cm	2	FALSE
me10a_SRR039505	leaf	B73	4cm	1	FALSE
me10a_SRR039506	leaf	B73	4cm	2	FALSE
me10a_SRR039507	leaf	B73	tip	1	FALSE
me10a_SRR039508	leaf	B73	tip	2	FALSE
me10a_SRR039509	leaf	B73	mesophyll	1	FALSE
me10a_SRR039510	leaf	B73	mesophyll	2	FALSE
me10a_SRR039512	leaf	B73	bundle-sheath	1	FALSE
me10a_SRR039514	leaf	B73	bundle-sheath	2	FALSE
me13b_SRR611806	leaf	B73	T00	1	TRUE
me13b_SRR611807	leaf	B73	T00	2	TRUE
me13b_SRR611822	leaf	B73	T06	1	TRUE
me13b_SRR611823	leaf	B73	T06	2	TRUE
me13b_SRR611834	leaf	B73	T12	1	TRUE
me13b_SRR611835	leaf	B73	T12	2	TRUE
me13b_SRR611836	leaf	B73	T18	1	TRUE
me13b_SRR611837	leaf	B73	T18	2	TRUE
me13b_SRR611838	leaf	B73	T24	1	TRUE
me13b_SRR611839	leaf	B73	T24	2	TRUE
me13b_SRR616188	leaf	B73	T30	1	TRUE
me13b_SRR616189	leaf	B73	T30	2	TRUE
me13b_SRR616190	leaf	B73	T36	1	TRUE
me13b_SRR616191	leaf	B73	T36	2	TRUE
me13b_SRR616192	leaf	B73	T42	1	TRUE
me13b_SRR616193	leaf	B73	T42	2	TRUE
me13b_SRR616194	leaf	B73	T48	1	TRUE
me13b_SRR616195	leaf	B73	T48	2	TRUE
me13b_SRR616196	leaf	B73	T54	1	TRUE
me13b_SRR616197	leaf	B73	T54	2	TRUE
me13b_SRR616248	leaf	B73	T60	1	TRUE
me13b_SRR616249	leaf	B73	T60	2	TRUE
me13b_SRR616250	leaf	B73	T66	1	TRUE
me13b_SRR616251	leaf	B73	T66	2	TRUE
me13b_SRR616252	leaf	B73	T72	1	TRUE
me13b_SRR616253	leaf	B73	T72	2	TRUE
me15b_SRR1507198	leaf	B73	T084	1	TRUE
me15b_SRR1507199	leaf	B73	T096	1	TRUE
me15b_SRR1507200	leaf	B73	T108	1	TRUE
me15b_SRR1507201	leaf	B73	T120	1	TRUE
me15b_SRR1507202	leaf	B73	T132	1	TRUE
me15b_SRR1507203	leaf	B73	T144	1	TRUE
me15b_SRR1507204	leaf	B73	T156	1	TRUE
me15b_SRR1507205	leaf	B73	T168	1	TRUE
me15b_SRR1507206	leaf	B73	T192	1	TRUE
